[2025-03-11T21:25:18.826+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-11T21:25:18.837+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: redfin_analytics_dag.tsk_transform_redfin_data manual__2025-03-11T21:16:32.124291+00:00 [queued]>
[2025-03-11T21:25:18.843+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: redfin_analytics_dag.tsk_transform_redfin_data manual__2025-03-11T21:16:32.124291+00:00 [queued]>
[2025-03-11T21:25:18.843+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-03-11T21:25:18.859+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): tsk_transform_redfin_data> on 2025-03-11 21:16:32.124291+00:00
[2025-03-11T21:25:18.865+0000] {standard_task_runner.py:72} INFO - Started process 28724 to run task
[2025-03-11T21:25:18.868+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'redfin_analytics_dag', 'tsk_transform_redfin_data', 'manual__2025-03-11T21:16:32.124291+00:00', '--job-id', '114', '--raw', '--subdir', 'DAGS_FOLDER/redfin_analytics.py', '--cfg-path', '/tmp/tmprajpe34e']
[2025-03-11T21:25:18.869+0000] {standard_task_runner.py:105} INFO - Job 114: Subtask tsk_transform_redfin_data
[2025-03-11T21:25:18.910+0000] {task_command.py:467} INFO - Running <TaskInstance: redfin_analytics_dag.tsk_transform_redfin_data manual__2025-03-11T21:16:32.124291+00:00 [running]> on host ip-172-31-7-71.eu-west-2.compute.internal
[2025-03-11T21:25:18.965+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dengineer420@gmail.com' AIRFLOW_CTX_DAG_OWNER='Rahul' AIRFLOW_CTX_DAG_ID='redfin_analytics_dag' AIRFLOW_CTX_TASK_ID='tsk_transform_redfin_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-11T21:16:32.124291+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-11T21:16:32.124291+00:00'
[2025-03-11T21:25:18.966+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-11T21:25:18.966+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-11T21:25:18.967+0000] {logging_mixin.py:190} INFO - Current task name:tsk_transform_redfin_data state:running start_date:2025-03-11 21:25:18.838591+00:00
[2025-03-11T21:25:18.967+0000] {logging_mixin.py:190} INFO - Dag name:redfin_analytics_dag and current dag run status:running
[2025-03-11T21:25:18.967+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-11T21:25:18.986+0000] {credentials.py:670} INFO - Found credentials in shared credentials file: ~/.aws/credentials
[2025-03-11T21:25:21.229+0000] {logging_mixin.py:190} INFO - Number of rows:  78387
[2025-03-11T21:25:21.229+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:23.055+0000] {logging_mixin.py:190} INFO - Number of rows:  78389
[2025-03-11T21:25:23.056+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:24.840+0000] {logging_mixin.py:190} INFO - Number of rows:  78363
[2025-03-11T21:25:24.840+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:26.785+0000] {logging_mixin.py:190} INFO - Number of rows:  78201
[2025-03-11T21:25:26.785+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:28.635+0000] {logging_mixin.py:190} INFO - Number of rows:  78693
[2025-03-11T21:25:28.635+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:30.717+0000] {logging_mixin.py:190} INFO - Number of rows:  78486
[2025-03-11T21:25:30.717+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:32.980+0000] {logging_mixin.py:190} INFO - Number of rows:  78707
[2025-03-11T21:25:32.981+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:34.746+0000] {logging_mixin.py:190} INFO - Number of rows:  78690
[2025-03-11T21:25:34.746+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:36.875+0000] {logging_mixin.py:190} INFO - Number of rows:  78540
[2025-03-11T21:25:36.876+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:38.735+0000] {logging_mixin.py:190} INFO - Number of rows:  78598
[2025-03-11T21:25:38.735+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:40.480+0000] {logging_mixin.py:190} INFO - Number of rows:  78437
[2025-03-11T21:25:40.481+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:42.208+0000] {logging_mixin.py:190} INFO - Number of rows:  78420
[2025-03-11T21:25:42.208+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:44.490+0000] {logging_mixin.py:190} INFO - Number of rows:  78406
[2025-03-11T21:25:44.490+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:46.292+0000] {logging_mixin.py:190} INFO - Number of rows:  78494
[2025-03-11T21:25:46.292+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:48.069+0000] {logging_mixin.py:190} INFO - Number of rows:  78203
[2025-03-11T21:25:48.069+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:49.823+0000] {logging_mixin.py:190} INFO - Number of rows:  78348
[2025-03-11T21:25:49.824+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:51.651+0000] {logging_mixin.py:190} INFO - Number of rows:  78111
[2025-03-11T21:25:51.651+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:53.413+0000] {logging_mixin.py:190} INFO - Number of rows:  78130
[2025-03-11T21:25:53.413+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:55.175+0000] {logging_mixin.py:190} INFO - Number of rows:  77966
[2025-03-11T21:25:55.175+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:57.013+0000] {logging_mixin.py:190} INFO - Number of rows:  78157
[2025-03-11T21:25:57.014+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:25:58.675+0000] {logging_mixin.py:190} INFO - Number of rows:  78121
[2025-03-11T21:25:58.675+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:00.535+0000] {logging_mixin.py:190} INFO - Number of rows:  78119
[2025-03-11T21:26:00.536+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:02.464+0000] {logging_mixin.py:190} INFO - Number of rows:  78099
[2025-03-11T21:26:02.464+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:04.477+0000] {logging_mixin.py:190} INFO - Number of rows:  78339
[2025-03-11T21:26:04.477+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:06.539+0000] {logging_mixin.py:190} INFO - Number of rows:  78282
[2025-03-11T21:26:06.539+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:08.248+0000] {logging_mixin.py:190} INFO - Number of rows:  78265
[2025-03-11T21:26:08.248+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:09.943+0000] {logging_mixin.py:190} INFO - Number of rows:  77985
[2025-03-11T21:26:09.944+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:11.823+0000] {logging_mixin.py:190} INFO - Number of rows:  78035
[2025-03-11T21:26:11.823+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:13.703+0000] {logging_mixin.py:190} INFO - Number of rows:  78086
[2025-03-11T21:26:13.703+0000] {logging_mixin.py:190} INFO - Number of columns:  28
