[2025-03-07T15:54:43.189+0000] {processor.py:186} INFO - Started process (PID=3483) to work on /home/ubuntu/redfin_venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-07T15:54:43.190+0000] {processor.py:914} INFO - Processing file /home/ubuntu/redfin_venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-07T15:54:43.191+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.191+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/ubuntu/redfin_venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-07T15:54:43.204+0000] {processor.py:925} INFO - DAG(s) 'dataset_produces_1', 'dataset_consumes_1', 'dataset_consumes_1_and_2', 'conditional_dataset_and_time_based_timetable', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_2', 'dataset_consumes_1_never_scheduled', 'consume_1_and_2_with_dataset_expressions' retrieved from /home/ubuntu/redfin_venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2025-03-07T15:54:43.395+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.395+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-07T15:54:43.412+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.411+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-05 01:00:00+00:00, run_after=2025-03-05 01:00:00+00:00
[2025-03-07T15:54:43.414+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.414+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-07T15:54:43.415+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.415+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-07T15:54:43.416+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.415+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-07T15:54:43.417+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.417+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-07T15:54:43.418+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.418+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-07T15:54:43.418+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.418+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-07T15:54:43.419+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.419+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-07T15:54:43.421+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.420+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-06 00:00:00+00:00, run_after=2025-03-07 00:00:00+00:00
[2025-03-07T15:54:43.421+0000] {logging_mixin.py:190} INFO - [2025-03-07T15:54:43.421+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-07T15:54:43.455+0000] {processor.py:208} INFO - Processing /home/ubuntu/redfin_venv/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.272 seconds
